id,name,age,gender,account_type,balance,kyc_status,credit_score,transaction_count,device_used,target
1181,181,39,Male,Salary,66697.6,Pending,617,345,ATM,Fraudulent
1467,467,42,Female,Savings,7463.42,Verified,605,495,Web,Fraudulent
1577,577,54,Female,Savings,75989.86,Pending,771,469,ATM,Genuine
1445,445,50,Female,Salary,92384.28,Rejected,331,133,Web,Fraudulent
1536,536,63,Female,Current,84170.9,Verified,639,459,Web,Fraudulent
1546,546,55,Male,Current,65713.86,Pending,379,274,Web,Fraudulent
1317,317,43,Female,Salary,38609.11,Pending,750,181,Web,Genuine
1355,355,19,Male,Savings,44687.31,Verified,738,113,ATM,Genuine
1493,493,47,Female,Salary,76974.22,Rejected,784,376,ATM,Fraudulent
1552,552,54,Male,Savings,17467.8,Verified,829,500,Web,Genuine
1232,232,30,Male,Current,99600.97,Pending,810,460,Web,Fraudulent
1091,91,27,Male,Salary,94963.44,Verified,554,70,ATM,Fraudulent
1452,452,37,Male,Current,7319.87,Pending,632,451,Web,Fraudulent
1315,315,28,Female,Current,42689.13,Pending,378,194,Web,Genuine
1374,374,25,Male,Salary,14583.97,Verified,467,264,Web,Fraudulent
1422,422,39,Female,Salary,4068.33,Rejected,468,320,Web,Genuine
1266,266,26,Female,Savings,46042.89,Rejected,682,222,ATM,Fraudulent
1159,159,22,Male,Salary,63684.03,Verified,393,392,ATM,Genuine
1310,310,65,Female,Current,36709.32,Verified,305,492,Web,Fraudulent
1010,10,31,Female,Savings,65888.43,Pending,769,83,Web,Genuine
1000,0,58,Male,Savings,74413.5,Verified,528,81,ATM,Genuine
1535,535,54,Female,Current,95907.23,Verified,304,170,Mobile,Genuine
1139,139,44,Male,Current,61949.57,Pending,333,363,Web,Genuine
1352,352,55,Male,Salary,10221.02,Pending,666,445,Mobile,Fraudulent
1293,293,49,Female,Current,76572.7,Pending,802,245,Mobile,Fraudulent
1480,480,24,Male,Savings,85347.87,Rejected,474,178,Web,Fraudulent
1547,547,32,Female,Current,81906.44,Pending,798,415,Web,Genuine
1008,8,56,Male,Salary,73183.55,Verified,773,204,Web,Genuine
1503,503,61,Female,Salary,14134.5,Rejected,482,267,ATM,Fraudulent
1488,488,18,Male,Salary,85035.71,Pending,469,48,Web,Fraudulent
1306,306,42,Male,Salary,72692.19,Rejected,654,37,Mobile,Fraudulent
1009,9,61,Female,Savings,23675.76,Verified,623,215,Web,Genuine
1440,440,37,Female,Current,85965.24,Rejected,400,454,Mobile,Genuine
1299,299,57,Female,Current,27465.15,Pending,380,201,Web,Fraudulent
1236,236,20,Female,Savings,57457.88,Verified,671,293,Web,Genuine
1007,7,58,Female,Savings,37647.92,Verified,573,369,ATM,Genuine
1561,561,34,Male,Savings,71205.73,Verified,835,70,ATM,Genuine
1382,382,37,Female,Savings,55756.05,Verified,677,112,Web,Fraudulent
1193,193,27,Male,Savings,29401.06,Pending,442,398,ATM,Fraudulent
1421,421,24,Male,Current,17840.42,Pending,464,384,Mobile,Genuine
1574,574,40,Female,Savings,61029.98,Verified,765,486,Web,Genuine
1447,447,65,Male,Current,3717.6,Verified,466,447,ATM,Genuine
1404,404,42,Female,Savings,3580.23,Rejected,524,25,Web,Genuine
1255,255,18,Male,Current,65636.39,Pending,788,343,Mobile,Fraudulent
1167,167,22,Female,Salary,43499.14,Pending,727,158,Mobile,Fraudulent
1399,399,64,Female,Current,3918.75,Rejected,736,98,Web,Genuine
1387,387,51,Female,Salary,89662.22,Pending,386,307,Mobile,Genuine
1225,225,54,Male,Savings,9041.06,Rejected,571,343,Mobile,Fraudulent
1269,269,28,Female,Salary,44742.21,Rejected,510,377,ATM,Fraudulent
1081,81,38,Male,Current,21999.87,Pending,648,153,ATM,Fraudulent
1432,432,50,Male,Savings,94976.23,Pending,477,495,Mobile,Genuine
1245,245,30,Male,Current,32055.56,Verified,722,363,Mobile,Fraudulent
1529,529,25,Male,Savings,57699.14,Pending,850,290,Mobile,Fraudulent
1278,278,57,Male,Savings,21402.08,Verified,334,238,ATM,Genuine
1291,291,38,Male,Current,31979.28,Verified,526,389,Mobile,Genuine
1544,544,32,Male,Salary,21470.63,Pending,697,250,Web,Genuine
1275,275,59,Female,Savings,18668.89,Rejected,702,280,Mobile,Genuine
1422,422,39,Female,Salary,4068.33,Rejected,468,320,Web,Genuine
1192,192,33,Female,Savings,38116.35,Verified,626,486,Mobile,Fraudulent
1070,70,31,Female,Current,34412.55,Pending,584,395,Web,Fraudulent
1186,186,64,Female,Savings,41675,Rejected,543,237,ATM,Fraudulent
1139,139,44,Male,Current,61949.57,Pending,333,363,Web,Genuine
1296,296,18,Male,Salary,46144.96,Verified,794,347,Web,Genuine
1113,113,52,Female,Current,33911.56,Rejected,686,243,Web,Genuine
1466,466,19,Male,Salary,73626.72,Verified,652,169,Mobile,Genuine
1463,463,18,Female,Current,21728.85,Verified,462,260,Mobile,Genuine
1278,278,57,Male,Savings,21402.08,Verified,334,238,ATM,Genuine
1503,503,61,Female,Salary,14134.5,Rejected,482,267,ATM,Fraudulent
1192,192,33,Female,Savings,38116.35,Verified,626,486,Mobile,Fraudulent
1328,328,40,Female,Current,46077.93,Verified,833,257,Web,Fraudulent
1019,19,60,Female,Salary,17347.57,Rejected,733,118,ATM,Genuine
1155,155,36,Female,Current,11256.46,Rejected,517,89,ATM,Fraudulent
1050,50,42,Male,Current,5394.27,Pending,301,276,ATM,Genuine
1547,547,32,Female,Current,81906.44,Pending,798,415,Web,Genuine
1022,22,22,Male,Savings,7672.63,Verified,638,46,ATM,Genuine
1190,190,36,Male,Savings,28006.34,Rejected,450,435,Web,Genuine
1104,104,53,Male,Current,9717.92,Pending,631,69,Web,Genuine
1288,288,37,Male,Savings,93778.82,Rejected,420,392,Web,Genuine
1275,275,59,Female,Savings,18668.89,Rejected,702,280,Mobile,Genuine
1128,128,56,Female,Current,77798.36,Verified,660,122,ATM,Genuine
1448,448,32,Male,Salary,21466.37,Rejected,719,272,Mobile,Genuine
1008,8,56,Male,Salary,73183.55,Verified,773,204,Web,Genuine
1238,238,41,Female,Salary,93955.91,Verified,503,318,ATM,Fraudulent
1092,92,56,Male,Salary,38657.42,Pending,604,450,ATM,Fraudulent
1154,154,55,Female,Salary,13100.9,Pending,733,454,ATM,Genuine
1015,15,28,Female,Savings,95427.78,Rejected,569,266,Mobile,Genuine
1505,505,45,Male,Salary,11540.58,Pending,448,37,ATM,Genuine
1222,222,28,Male,Current,93539.05,Verified,654,495,ATM,Fraudulent
1350,350,49,Male,Salary,63607.8,Rejected,724,202,Web,Genuine
1430,430,52,Female,Salary,23523.76,Verified,696,429,ATM,Fraudulent
1319,319,38,Female,Salary,69800.82,Pending,548,176,Web,Fraudulent
1510,510,55,Male,Salary,96464.69,Pending,759,100,ATM,Genuine
1380,380,44,Female,Current,82773.7,Rejected,681,71,ATM,Genuine
1474,474,44,Male,Salary,72157.86,Verified,589,68,Mobile,Fraudulent
1032,32,61,Male,Current,12868.77,Rejected,552,306,ATM,Genuine
1338,338,54,Female,Current,19389.62,Rejected,850,365,ATM,Genuine
1082,82,53,Male,Salary,94858.2,Verified,547,378,Web,Fraudulent
1149,149,23,Female,Salary,15685.05,Verified,581,329,ATM,Fraudulent
1057,57,19,Male,Savings,98409.67,Rejected,374,243,Web,Genuine
1272,272,65,Male,Salary,8229.92,Pending,652,368,Mobile,Genuine
1401,401,59,Female,Current,41787.23,Rejected,790,41,Mobile,Fraudulent
1073,73,26,Female,Salary,12324.56,Verified,776,368,Web,Fraudulent
1556,556,24,Male,Savings,52748.42,Rejected,729,433,Mobile,Genuine
1481,481,57,Female,Salary,10202.18,Pending,487,68,Web,Fraudulent
1185,185,60,Female,Salary,13973.86,Pending,457,93,Mobile,Genuine
1196,196,22,Male,Current,60077.17,Verified,827,304,Mobile,Genuine
1256,256,38,Female,Salary,6857.1,Verified,537,283,ATM,Genuine
1390,390,32,Male,Savings,14475.07,Rejected,411,89,Mobile,Genuine
1012,12,50,Female,Savings,75822.43,Verified,456,331,Mobile,Fraudulent
1124,124,47,Female,Salary,1930.35,Pending,594,356,ATM,Genuine
1254,254,58,Male,Savings,10919.6,Pending,783,61,ATM,Genuine
1394,394,40,Female,Salary,5846.11,Pending,566,429,Mobile,Genuine
1453,453,59,Female,Savings,15843,Verified,358,422,ATM,Fraudulent
1253,253,26,Male,Salary,74348.21,Verified,548,35,ATM,Genuine
1034,34,60,Female,Savings,27295.84,Verified,607,244,Web,Genuine
1203,203,36,Male,Savings,79319.81,Verified,623,487,Web,Fraudulent
1471,471,52,Male,Salary,99473.34,Rejected,410,344,Mobile,Genuine
1096,96,61,Male,Current,78994.97,Rejected,502,227,Mobile,Genuine
1533,533,39,Female,Savings,67458.26,Verified,402,155,ATM,Genuine
1213,213,51,Female,Current,32124.16,Pending,555,68,Mobile,Genuine
1484,484,29,Female,Current,61524.48,Rejected,433,257,Web,Genuine
1398,398,26,Male,Current,13130.24,Pending,351,96,ATM,Fraudulent
1319,319,38,Female,Salary,69800.82,Pending,548,176,Web,Fraudulent
1330,330,19,Female,Salary,11826.91,Verified,549,274,Mobile,Genuine
1162,162,49,Female,Current,28043.52,Rejected,416,186,Web,Genuine
1043,43,31,Male,Salary,11176.57,Rejected,716,327,ATM,Genuine
1562,562,42,Male,Salary,80624.43,Pending,670,64,Mobile,Fraudulent
1533,533,39,Female,Savings,67458.26,Verified,402,155,ATM,Genuine
1125,125,22,Female,Current,98777.52,Pending,734,363,Web,Fraudulent
1259,259,47,Female,Savings,85254.91,Pending,579,108,Mobile,Fraudulent
1492,492,50,Male,Salary,67475.96,Pending,672,432,Mobile,Genuine
1305,305,63,Female,Savings,30628.41,Rejected,546,300,Web,Fraudulent
1203,203,36,Male,Savings,79319.81,Verified,623,487,Web,Fraudulent
1369,369,55,Male,Savings,26956.34,Verified,361,495,Web,Fraudulent
1053,53,44,Female,Salary,75065.32,Verified,608,217,ATM,Genuine
1223,223,23,Female,Savings,63870.65,Rejected,581,74,ATM,Fraudulent
1115,115,63,Female,Current,98852.99,Rejected,455,263,Mobile,Genuine
1241,241,55,Female,Salary,83000.65,Rejected,801,372,ATM,Fraudulent
1444,444,21,Male,Savings,46188.42,Pending,503,150,Web,Fraudulent
1332,332,43,Male,Salary,61796.59,Verified,760,313,Web,Fraudulent
1015,15,28,Female,Savings,95427.78,Rejected,569,266,Mobile,Genuine
1171,171,51,Male,Current,35758.87,Rejected,451,130,Mobile,Genuine
1282,282,21,Male,Salary,68196.26,Rejected,807,34,Web,Fraudulent
1598,598,58,Male,Savings,64417.48,Pending,731,333,ATM,Fraudulent
1122,122,33,Female,Salary,68498.24,Verified,474,99,Mobile,Fraudulent
1405,405,48,Female,Salary,99960.97,Verified,402,136,ATM,Genuine
1248,248,52,Female,Salary,77426.99,Rejected,570,322,Web,Genuine
1009,9,61,Female,Savings,23675.76,Verified,623,215,Web,Genuine
1043,43,31,Male,Salary,11176.57,Rejected,716,327,ATM,Genuine
1595,595,34,Female,Current,56474.65,Pending,652,20,Web,Genuine
1486,486,60,Female,Salary,52787.21,Rejected,397,231,ATM,Genuine
1158,158,62,Female,Current,35751.32,Verified,446,299,ATM,Fraudulent
1380,380,44,Female,Current,82773.7,Rejected,681,71,ATM,Genuine
1091,91,27,Male,Salary,94963.44,Verified,554,70,ATM,Fraudulent
1254,254,58,Male,Savings,10919.6,Pending,783,61,ATM,Genuine
1161,161,21,Male,Savings,75689.15,Verified,383,149,Web,Fraudulent
1511,511,29,Male,Salary,51870.84,Pending,341,229,Web,Fraudulent
1093,93,37,Male,Salary,96050.77,Verified,512,330,Mobile,Fraudulent
1346,346,63,Female,Savings,61998.97,Verified,511,422,Mobile,Fraudulent
1061,61,53,Female,Savings,74621.89,Pending,760,142,Mobile,Fraudulent
1061,61,53,Female,Savings,74621.89,Pending,760,142,Mobile,Fraudulent
1364,364,40,Female,Current,79316.59,Verified,583,340,Mobile,Genuine
1157,157,45,Male,Salary,92979.34,Rejected,573,24,Mobile,Fraudulent
1549,549,27,Male,Savings,36860.07,Rejected,421,348,Mobile,Fraudulent
1109,109,49,Female,Salary,70835.75,Pending,794,251,Mobile,Fraudulent
1128,128,56,Female,Current,77798.36,Verified,660,122,ATM,Genuine
1499,499,53,Female,Salary,48810.26,Rejected,481,364,ATM,Genuine
1238,238,41,Female,Salary,93955.91,Verified,503,318,ATM,Fraudulent
1324,324,62,Male,Savings,77126.45,Rejected,663,95,ATM,Genuine
1571,571,56,Male,Salary,17778.81,Verified,668,132,ATM,Genuine
1355,355,19,Male,Savings,44687.31,Verified,738,113,ATM,Genuine
1449,449,48,Male,Salary,18146.86,Verified,529,139,ATM,Fraudulent
1197,197,36,Female,Savings,61866.15,Verified,726,105,ATM,Genuine
1021,21,25,Male,Savings,7338.56,Verified,535,311,Mobile,Genuine
1386,386,44,Female,Savings,97283.36,Verified,586,57,Mobile,Genuine
1366,366,65,Female,Current,64970.81,Verified,806,207,Mobile,Genuine
1137,137,26,Male,Savings,31132.09,Pending,418,59,Mobile,Genuine
1256,256,38,Female,Salary,6857.1,Verified,537,283,ATM,Genuine
1040,40,20,Male,Current,77340.8,Rejected,568,92,ATM,Fraudulent
1496,496,26,Female,Savings,26174.64,Verified,492,71,Web,Genuine
1448,448,32,Male,Salary,21466.37,Rejected,719,272,Mobile,Genuine
1572,572,28,Male,Current,78187.62,Pending,704,217,ATM,Genuine
1301,301,23,Female,Current,38339.79,Pending,357,336,Mobile,Genuine
1555,555,28,Female,Current,60056.8,Verified,535,203,Web,Genuine
1501,501,56,Male,Current,40389.13,Pending,601,241,Mobile,Genuine
1194,194,46,Male,Savings,2881.38,Verified,453,290,ATM,Fraudulent
1580,580,43,Female,Savings,55900.6,Verified,787,170,Web,Genuine
1191,191,32,Female,Current,93116.72,Pending,354,212,ATM,Fraudulent
1556,556,24,Male,Savings,52748.42,Rejected,729,433,Mobile,Genuine
1356,356,59,Female,Savings,87567.91,Pending,395,345,Web,Fraudulent
1331,331,39,Female,Current,23953.7,Pending,488,105,ATM,Fraudulent
1479,479,24,Male,Savings,85372.62,Pending,620,228,ATM,Genuine
1281,281,33,Female,Savings,98583.86,Rejected,526,221,Web,Fraudulent
1567,567,39,Male,Savings,39521.26,Rejected,305,421,Mobile,Genuine
1164,164,18,Male,Current,94587.08,Verified,561,158,Web,Genuine
1070,70,31,Female,Current,34412.55,Pending,584,395,Web,Fraudulent
1543,543,65,Female,Current,5001.56,Pending,537,42,Web,Fraudulent
1158,158,62,Female,Current,35751.32,Verified,446,299,ATM,Fraudulent
1460,460,48,Male,Salary,12861.78,Rejected,690,281,Web,Fraudulent
1302,302,23,Female,Current,64845.82,Pending,397,468,ATM,Genuine
1269,269,28,Female,Salary,44742.21,Rejected,510,377,ATM,Fraudulent
1554,554,32,Female,Salary,15128.5,Rejected,486,329,ATM,Fraudulent
1375,375,28,Female,Savings,75227.86,Pending,420,404,Mobile,Fraudulent
1464,464,57,Female,Salary,43511.56,Pending,788,206,Mobile,Genuine
1000,0,58,Male,Savings,74413.5,Verified,528,81,ATM,Genuine
1518,518,42,Male,Current,26402.47,Rejected,589,22,ATM,Fraudulent
1388,388,58,Female,Savings,59597.68,Verified,745,349,Mobile,Genuine
1189,189,30,Male,Current,6165.8,Pending,680,293,Mobile,Genuine
1019,19,60,Female,Salary,17347.57,Rejected,733,118,ATM,Genuine
1372,372,55,Male,Current,70168.91,Rejected,544,39,Mobile,Genuine
1244,244,28,Female,Savings,82344.47,Verified,332,303,ATM,Genuine
1328,328,40,Female,Current,46077.93,Verified,833,257,Web,Fraudulent
1064,64,62,Male,Salary,22181.33,Pending,717,179,ATM,Fraudulent
1551,551,19,Male,Savings,13660.63,Rejected,464,78,ATM,Genuine
1396,396,25,Male,Savings,83206.86,Verified,433,111,Web,Fraudulent
1194,194,46,Male,Savings,2881.38,Verified,453,290,ATM,Fraudulent
1536,536,63,Female,Current,84170.9,Verified,639,459,Web,Fraudulent
1509,509,53,Male,Savings,74623.33,Verified,753,434,Mobile,Fraudulent
1564,564,31,Female,Salary,78595.05,Pending,483,199,ATM,Fraudulent
1157,157,45,Male,Salary,92979.34,Rejected,573,24,Mobile,Fraudulent
1289,289,62,Male,Current,91597.52,Rejected,629,407,Web,Fraudulent
1330,330,19,Female,Salary,11826.91,Verified,549,274,Mobile,Genuine
1419,419,44,Female,Current,35771.89,Pending,403,434,Web,Genuine
1329,329,24,Female,Salary,69979.56,Pending,368,163,Mobile,Genuine
1113,113,52,Female,Current,33911.56,Rejected,686,243,Web,Genuine
1098,98,46,Male,Current,69179.12,Rejected,712,492,Web,Fraudulent
1535,535,54,Female,Current,95907.23,Verified,304,170,Mobile,Genuine
1068,68,64,Male,Current,92034.62,Rejected,846,23,Web,Genuine
1044,44,33,Male,Savings,88260.2,Verified,483,387,Web,Fraudulent
1132,132,28,Female,Current,96771.02,Pending,646,421,Mobile,Fraudulent
1182,182,26,Male,Current,56333.28,Rejected,636,426,Mobile,Genuine
1032,32,61,Male,Current,12868.77,Rejected,552,306,ATM,Genuine
1206,206,42,Female,Savings,50124.12,Pending,676,483,ATM,Fraudulent
1109,109,49,Female,Salary,70835.75,Pending,794,251,Mobile,Fraudulent
1497,497,47,Male,Salary,34455.42,Pending,347,484,ATM,Genuine
1196,196,22,Male,Current,60077.17,Verified,827,304,Mobile,Genuine
1101,101,54,Male,Savings,47579.58,Rejected,752,479,Web,Genuine
1032,32,61,Male,Current,12868.77,Rejected,552,306,ATM,Genuine
1584,584,48,Female,Salary,32226.27,Rejected,581,261,Mobile,Fraudulent
1397,397,61,Male,Salary,59025.76,Verified,322,43,Mobile,Fraudulent
1501,501,56,Male,Current,40389.13,Pending,601,241,Mobile,Genuine
1538,538,35,Male,Salary,20446.76,Rejected,378,382,Mobile,Genuine
1262,262,23,Female,Salary,10443.13,Verified,788,175,Mobile,Genuine
1050,50,42,Male,Current,5394.27,Pending,301,276,ATM,Genuine
1375,375,28,Female,Savings,75227.86,Pending,420,404,Mobile,Fraudulent
1226,226,57,Male,Current,89010.69,Rejected,596,338,Web,Fraudulent
1072,72,59,Male,Savings,95011.56,Verified,320,328,Mobile,Genuine
1013,13,56,Male,Current,38780.31,Pending,841,138,ATM,Genuine
1213,213,51,Female,Current,32124.16,Pending,555,68,Mobile,Genuine
1503,503,61,Female,Salary,14134.5,Rejected,482,267,ATM,Fraudulent
1081,81,38,Male,Current,21999.87,Pending,648,153,ATM,Fraudulent
1479,479,24,Male,Savings,85372.62,Pending,620,228,ATM,Genuine
1062,62,51,Female,Salary,24685.34,Pending,379,375,Web,Genuine
1369,369,55,Male,Savings,26956.34,Verified,361,495,Web,Fraudulent
1571,571,56,Male,Salary,17778.81,Verified,668,132,ATM,Genuine
1425,425,27,Male,Current,1377.74,Verified,601,431,ATM,Fraudulent
1377,377,21,Female,Salary,17521.26,Verified,561,405,Mobile,Genuine
1059,59,32,Male,Salary,52277.82,Verified,555,479,Mobile,Fraudulent
1272,272,65,Male,Salary,8229.92,Pending,652,368,Mobile,Genuine
1541,541,26,Female,Salary,51530.79,Pending,672,267,Mobile,Genuine
1041,41,53,Female,Salary,1957.3,Verified,452,289,Mobile,Fraudulent
1072,72,59,Male,Savings,95011.56,Verified,320,328,Mobile,Genuine
1311,311,41,Female,Savings,14118.19,Verified,741,239,ATM,Fraudulent
1079,79,47,Female,Salary,59654.99,Pending,551,435,Mobile,Fraudulent
1221,221,26,Male,Savings,43829.21,Verified,427,275,Mobile,Fraudulent
1531,531,32,Female,Savings,12347.63,Rejected,355,445,ATM,Fraudulent
1099,99,46,Male,Salary,4946.22,Pending,630,319,Web,Genuine
1103,103,38,Male,Savings,33650.56,Rejected,807,157,ATM,Fraudulent
1236,236,20,Female,Savings,57457.88,Verified,671,293,Web,Genuine
1544,544,32,Male,Salary,21470.63,Pending,697,250,Web,Genuine
1394,394,40,Female,Salary,5846.11,Pending,566,429,Mobile,Genuine
1194,194,46,Male,Savings,2881.38,Verified,453,290,ATM,Fraudulent
1197,197,36,Female,Savings,61866.15,Verified,726,105,ATM,Genuine
1538,538,35,Male,Salary,20446.76,Rejected,378,382,Mobile,Genuine
1254,254,58,Male,Savings,10919.6,Pending,783,61,ATM,Genuine
1583,583,27,Male,Savings,92098.62,Rejected,804,324,Mobile,Genuine
1183,183,59,Female,Salary,36820.98,Pending,616,102,Mobile,Fraudulent
1571,571,56,Male,Salary,17778.81,Verified,668,132,ATM,Genuine
1571,571,56,Male,Salary,17778.81,Verified,668,132,ATM,Genuine
1425,425,27,Male,Current,1377.74,Verified,601,431,ATM,Fraudulent
1108,108,53,Female,Savings,23245.37,Verified,772,494,Mobile,Genuine
1590,590,46,Male,Salary,13982.78,Rejected,534,426,Mobile,Fraudulent
1366,366,65,Female,Current,64970.81,Verified,806,207,Mobile,Genuine
1469,469,30,Male,Current,2893.35,Verified,434,118,ATM,Genuine
1437,437,36,Female,Current,27149.53,Rejected,797,302,ATM,Fraudulent
1106,106,21,Male,Current,55372.74,Pending,748,460,ATM,Fraudulent
1170,170,37,Female,Savings,33973.79,Verified,378,271,ATM,Genuine
1184,184,49,Male,Savings,99997.69,Verified,379,161,Mobile,Genuine
1563,563,59,Female,Current,85642.72,Pending,674,323,Web,Fraudulent
1411,411,55,Male,Savings,84801.61,Pending,374,201,ATM,Fraudulent
1516,516,31,Female,Salary,82545.15,Rejected,309,68,ATM,Fraudulent
1345,345,34,Female,Savings,44467.92,Verified,542,117,ATM,Fraudulent
1161,161,21,Male,Savings,75689.15,Verified,383,149,Web,Fraudulent
1546,546,55,Male,Current,65713.86,Pending,379,274,Web,Fraudulent
1453,453,59,Female,Savings,15843,Verified,358,422,ATM,Fraudulent
1360,360,25,Female,Salary,14085.34,Verified,534,206,Mobile,Genuine
1322,322,26,Female,Savings,26015.49,Verified,733,414,Web,Genuine
1563,563,59,Female,Current,85642.72,Pending,674,323,Web,Fraudulent
1332,332,43,Male,Salary,61796.59,Verified,760,313,Web,Fraudulent
1380,380,44,Female,Current,82773.7,Rejected,681,71,ATM,Genuine
1422,422,39,Female,Salary,4068.33,Rejected,468,320,Web,Genuine
1440,440,37,Female,Current,85965.24,Rejected,400,454,Mobile,Genuine
1331,331,39,Female,Current,23953.7,Pending,488,105,ATM,Fraudulent
1246,246,50,Female,Salary,73012.81,Rejected,441,275,Mobile,Fraudulent
1576,576,25,Female,Salary,81501.59,Rejected,556,365,Web,Fraudulent
1558,558,48,Male,Salary,54389.31,Verified,741,277,Web,Fraudulent
1219,219,57,Male,Savings,31619.78,Rejected,790,279,Web,Fraudulent
1384,384,27,Male,Current,3367.12,Rejected,654,335,ATM,Genuine
1563,563,59,Female,Current,85642.72,Pending,674,323,Web,Fraudulent
1260,260,28,Female,Salary,26469.22,Verified,314,387,Web,Fraudulent
1368,368,42,Female,Current,55089.27,Verified,782,498,Mobile,Genuine
1463,463,18,Female,Current,21728.85,Verified,462,260,Mobile,Genuine
1458,458,59,Male,Savings,36173.06,Rejected,614,225,Web,Fraudulent
1406,406,35,Male,Savings,57993.52,Pending,663,488,Mobile,Genuine
1000,0,58,Male,Savings,74413.5,Verified,528,81,ATM,Genuine
1035,35,18,Female,Salary,99846.99,Verified,375,285,Mobile,Fraudulent
1291,291,38,Male,Current,31979.28,Verified,526,389,Mobile,Genuine
1016,16,58,Female,Salary,51258.63,Verified,456,201,Mobile,Genuine
1530,530,31,Female,Savings,41852.8,Rejected,824,82,Mobile,Genuine
1138,138,42,Female,Current,67378.14,Rejected,729,310,ATM,Genuine
1309,309,23,Female,Savings,71597.74,Verified,574,88,Web,Genuine
1006,6,20,Male,Current,98536.93,Verified,403,204,Web,Fraudulent
1307,307,32,Male,Current,60911.71,Rejected,706,406,Web,Genuine
1227,227,33,Female,Current,45900.87,Rejected,361,90,Web,Fraudulent
